0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
2 		Model Error:2.91038304567337E-11[18048,18143] 106 Explicit 0 
2 		Model Error:2.5465851649642E-11[18144,18239] 107 Trend 0 
1 	Model Error:809.363213972501[18240,19391] 117 Explicit 8 
2 		Model Error:230.557112776522[18240,18431] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[18240,18335] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[18336,18431] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[18432,18527] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[18528,18623] 107 Trend 0 
2 		Model Error:420.810017123724[18624,18815] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[18624,18719] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[18720,18815] 107 Trend 0 
2 		Model Error:488.652341115754[18816,19007] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[18816,18911] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[18912,19007] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[19008,19103] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[19104,19199] 106 Explicit 0 
2 		Model Error:479.211850644104[19200,19391] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[19200,19295] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[19296,19391] 107 Trend 0 
1 	Model Error:751.917427648325[19392,22655] 139 Explicit 16 
2 		Model Error:469.218224761491[19392,19583] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[19392,19487] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[19488,19583] 107 Trend 0 
2 		Model Error:467.790571117257[19584,19967] 109 Explicit 4 
3 			Model Error:2.91038304567337E-11[19584,19679] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[19680,19775] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[19776,19871] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[19872,19967] 106 Explicit 0 
2 		Model Error:478.06088486762[19968,20159] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[19968,20063] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[20064,20159] 107 Trend 0 
2 		Model Error:304.023102082923[20160,20351] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[20160,20255] 106 Explicit 0 
