0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
2 		Model Error:2.18278728425503E-11[58656,58751] 107 Trend 0 
2 		Model Error:391.313174582494[58752,58943] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[58752,58847] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[58848,58943] 107 Trend 0 
2 		Model Error:307.900769987828[58944,59135] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[58944,59039] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[59040,59135] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[59136,59231] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[59232,59327] 107 Trend 0 
1 	Model Error:972.420038783224[59328,61439] 127 Explicit 16 
2 		Model Error:146.882862464845[59328,59519] 107 Implicit 2 
3 			Model Error:1.45519152283669E-11[59328,59423] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[59424,59519] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[59520,59615] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[59616,59711] 107 Trend 0 
2 		Model Error:315.655353168273[59712,59903] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[59712,59807] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[59808,59903] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[59904,59999] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[60000,60095] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[60096,60191] 106 Explicit 0 
2 		Model Error:2.5465851649642E-11[60192,60287] 107 Trend 0 
2 		Model Error:323.09926945794[60288,60479] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[60288,60383] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[60384,60479] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[60480,60575] 106 Explicit 0 
2 		Model Error:2.5465851649642E-11[60576,60671] 107 Trend 0 
2 		Model Error:346.438350498083[60672,60863] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[60672,60767] 107 Trend 0 
3 			Model Error:7.27595761418343E-12[60768,60863] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[60864,60959] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[60960,61055] 107 Trend 0 
2 		Model Error:403.686404121174[61056,61247] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[61056,61151] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[61152,61247] 106 Explicit 0 
2 		Model Error:477.776981542687[61248,61439] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[61248,61343] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[61344,61439] 107 Trend 0 
1 	Model Error:768.826839504538[61440,62687] 118 Explicit 8 
2 		Model Error:2.18278728425503E-11[61440,61535] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[61536,61631] 106 Explicit 0 
2 		Model Error:258.826734815157[61632,61823] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[61632,61727] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[61728,61823] 106 Explicit 0 
2 		Model Error:469.903291162627[61824,62207] 109 Explicit 4 
3 			Model Error:4.36557456851006E-11[61824,61919] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[61920,62015] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[62016,62111] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[62112,62207] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[62208,62303] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[62304,62399] 106 Explicit 0 
2 		Model Error:409.341519132497[62400,62591] 107 Trend 2 
3 			Model Error:4.00177668780088E-11[62400,62495] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[62496,62591] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[62592,62687] 107 Trend 0 
1 	Model Error:753.877558957414[62688,63743] 116 Explicit 8 
2 		Model Error:2.18278728425503E-11[62688,62783] 106 Explicit 0 
2 		Model Error:422.990366733407[62784,62975] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[62784,62879] 107 Trend 0 
3 			Model Error:4.72937244921923E-11[62880,62975] 107 Trend 0 
2 		Model Error:364.762987167502[62976,63167] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[62976,63071] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[63072,63167] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[63168,63263] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[63264,63359] 107 Trend 0 
2 		Model Error:268.422654841153[63360,63551] 107 Trend 2 
3 			Model Error:2.5465851649642E-11[63360,63455] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[63456,63551] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[63552,63647] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[63648,63743] 107 Trend 0 
1 	Model Error:596.785383984687[63744,64895] 117 Explicit 8 
2 		Model Error:259.782710847401[63744,63935] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[63744,63839] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[63840,63935] 107 Trend 0 
2 		Model Error:5.0931703299284E-11[63936,64031] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[64032,64127] 106 Explicit 0 
2 		Model Error:361.334577284149[64128,64319] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[64128,64223] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[64224,64319] 106 Explicit 0 
2 		Model Error:386.04217287965[64320,64511] 107 Trend 2 
3 			Model Error:5.82076609134674E-11[64320,64415] 106 Explicit 0 
3 			Model Error:3.63797880709171E-11[64416,64511] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[64512,64607] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[64608,64703] 107 Trend 0 
2 		Model Error:173.938266652738[64704,64895] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[64704,64799] 106 Explicit 0 
3 			Model Error:3.63797880709171E-11[64800,64895] 107 Trend 0 
1 	Model Error:897.429075091437[64896,65375] 110 Explicit 4 
2 		Model Error:2.18278728425503E-11[64896,64991] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[64992,65087] 106 Explicit 0 
2 		Model Error:400.663373546413[65088,65279] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[65088,65183] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[65184,65279] 107 Trend 0 
2 		Model Error:4.72937244921923E-11[65280,65375] 107 Trend 0 
1 	Model Error:1.45519152283669E-11[65376,65471] 107 Trend 0 
1 	Model Error:3.63797880709171E-11[65472,65567] 106 Explicit 0 
1 	Model Error:720.101864281169[65568,65759] 107 Explicit 2 
2 		Model Error:1.09139364212751E-11[65568,65663] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[65664,65759] 107 Trend 0 
1 	Model Error:2.18278728425503E-11[65760,65855] 106 Explicit 0 
1 	Model Error:2.18278728425503E-11[65856,65951] 107 Trend 0 
1 	Model Error:750.764208949149[65952,66239] 108 Explicit 2 
2 		Model Error:2.91038304567337E-11[65952,66047] 107 Trend 0 
2 		Model Error:284.219844176623[66048,66239] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[66048,66143] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[66144,66239] 107 Trend 0 
1 	Model Error:644.237621942171[66240,66815] 111 Explicit 4 
2 		Model Error:453.360913757344[66240,66431] 107 Implicit 2 
3 			Model Error:2.91038304567337E-11[66240,66335] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[66336,66431] 107 Trend 0 
2 		Model Error:447.784979463017[66432,66623] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[66432,66527] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[66528,66623] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[66624,66719] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[66720,66815] 107 Trend 0 
1 	Model Error:649.148494649751[66816,67967] 117 Explicit 8 
2 		Model Error:493.104768751102[66816,67007] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[66816,66911] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[66912,67007] 106 Explicit 0 
2 		Model Error:360.731570178257[67008,67199] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[67008,67103] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[67104,67199] 107 Trend 0 
2 		Model Error:4.00177668780088E-11[67200,67295] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[67296,67391] 107 Trend 0 
2 		Model Error:192.516749272618[67392,67583] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[67392,67487] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[67488,67583] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[67584,67679] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[67680,67775] 106 Explicit 0 
2 		Model Error:428.338510722126[67776,67967] 107 Implicit 2 
3 			Model Error:2.18278728425503E-11[67776,67871] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[67872,67967] 107 Trend 0 
1 	Model Error:970.851311344944[67968,69983] 126 Explicit 16 
2 		Model Error:427.020486239504[67968,68159] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[67968,68063] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[68064,68159] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[68160,68255] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[68256,68351] 106 Explicit 0 
2 		Model Error:427.843455701128[68352,68543] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[68352,68447] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[68448,68543] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[68544,68639] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[68640,68735] 106 Explicit 0 
2 		Model Error:316.547480402834[68736,68927] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[68736,68831] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[68832,68927] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[68928,69023] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[69024,69119] 107 Trend 0 
2 		Model Error:485.652392732147[69120,69311] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[69120,69215] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[69216,69311] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[69312,69407] 107 Trend 0 
2 		Model Error:4.72937244921923E-11[69408,69503] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[69504,69599] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[69600,69695] 107 Trend 0 
2 		Model Error:413.643251870963[69696,69887] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[69696,69791] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[69792,69887] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[69888,69983] 106 Explicit 0 
1 	Model Error:980.028845444591[69984,71039] 116 Explicit 8 
2 		Model Error:1.45519152283669E-11[69984,70079] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[70080,70175] 107 Trend 0 
2 		Model Error:5.0931703299284E-11[70176,70271] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[70272,70367] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[70368,70463] 107 Trend 0 
2 		Model Error:244.164187016955[70464,70655] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[70464,70559] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[70560,70655] 107 Trend 0 
2 		Model Error:350.087038809223[70656,70847] 107 Explicit 2 
3 			Model Error:7.27595761418343E-12[70656,70751] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[70752,70847] 107 Trend 0 
2 		Model Error:192.162214049677[70848,71039] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[70848,70943] 106 Explicit 0 
3 			Model Error:2.5465851649642E-11[70944,71039] 107 Trend 0 
1 	Model Error:780.875212308962[71040,71903] 114 Explicit 8 
2 		Model Error:2.91038304567337E-11[71040,71135] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[71136,71231] 107 Trend 0 
2 		Model Error:434.943112378103[71232,71423] 107 Trend 2 
3 			Model Error:2.5465851649642E-11[71232,71327] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[71328,71423] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[71424,71519] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[71520,71615] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[71616,71711] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[71712,71807] 106 Explicit 0 
2 		Model Error:2.5465851649642E-11[71808,71903] 107 Trend 0 
1 	Model Error:772.038116546166[71904,74783] 135 Explicit 16 
2 		Model Error:2.91038304567337E-11[71904,71999] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[72000,72095] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[72096,72191] 107 Trend 0 
2 		Model Error:470.053424000682[72192,72575] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[72192,72287] 106 Explicit 0 
3 			Model Error:3.63797880709171E-11[72288,72383] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[72384,72479] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[72480,72575] 107 Trend 0 
2 		Model Error:446.572696332005[72576,72767] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[72576,72671] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[72672,72767] 107 Trend 0 
2 		Model Error:148.28635278924[72768,72959] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[72768,72863] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[72864,72959] 107 Trend 0 
2 		Model Error:7.27595761418343E-12[72960,73055] 107 Trend 0 
2 		Model Error:1.09139364212751E-11[73056,73151] 107 Trend 0 
2 		Model Error:487.092830178968[73152,73343] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[73152,73247] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[73248,73343] 107 Trend 0 
2 		Model Error:478.196836699222[73344,73727] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[73344,73439] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[73440,73535] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[73536,73631] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[73632,73727] 107 Trend 0 
2 		Model Error:490.609848498403[73728,74111] 109 Explicit 4 
3 			Model Error:2.18278728425503E-11[73728,73823] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[73824,73919] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[73920,74015] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[74016,74111] 106 Explicit 0 
2 		Model Error:354.298593464795[74112,74303] 107 Explicit 2 
3 			Model Error:1.81898940354586E-11[74112,74207] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[74208,74303] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[74304,74399] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[74400,74495] 107 Trend 0 
2 		Model Error:116.65286372371[74496,74687] 107 Explicit 2 
3 			Model Error:4.00177668780088E-11[74496,74591] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[74592,74687] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[74688,74783] 107 Trend 0 
1 	Model Error:684.496907209803[74784,77183] 130 Explicit 16 
2 		Model Error:4.00177668780088E-11[74784,74879] 106 Explicit 0 
2 		Model Error:482.213805335428[74880,75263] 109 Explicit 4 
3 			Model Error:2.5465851649642E-11[74880,74975] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[74976,75071] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[75072,75167] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[75168,75263] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[75264,75359] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[75360,75455] 107 Trend 0 
2 		Model Error:282.201573122649[75456,75647] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[75456,75551] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[75552,75647] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[75648,75743] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[75744,75839] 107 Trend 0 
2 		Model Error:148.709751714108[75840,76031] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[75840,75935] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[75936,76031] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[76032,76127] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[76128,76223] 107 Trend 0 
2 		Model Error:263.97198434989[76224,76415] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[76224,76319] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[76320,76415] 107 Trend 0 
2 		Model Error:490.450229921546[76416,76607] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[76416,76511] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[76512,76607] 107 Trend 0 
2 		Model Error:432.693297323007[76608,76799] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[76608,76703] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[76704,76799] 107 Trend 0 
2 		Model Error:306.83010900332[76800,76991] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[76800,76895] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[76896,76991] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[76992,77087] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[77088,77183] 107 Trend 0 
1 	Model Error:992.266280820237[77184,79295] 127 Explicit 16 
2 		Model Error:391.723283564352[77184,77375] 107 Explicit 2 
3 			Model Error:1.81898940354586E-11[77184,77279] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[77280,77375] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[77376,77471] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[77472,77567] 107 Trend 0 
2 		Model Error:273.457804223304[77568,77759] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[77568,77663] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[77664,77759] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[77760,77855] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[77856,77951] 107 Trend 0 
2 		Model Error:462.645736478684[77952,78143] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[77952,78047] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[78048,78143] 107 Trend 0 
2 		Model Error:421.132789877985[78144,78335] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[78144,78239] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[78240,78335] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[78336,78431] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[78432,78527] 106 Explicit 0 
2 		Model Error:150.500677519536[78528,78719] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[78528,78623] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[78624,78719] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[78720,78815] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[78816,78911] 106 Explicit 0 
2 		Model Error:288.54106311217[78912,79103] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[78912,79007] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[79008,79103] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[79104,79199] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[79200,79295] 107 Trend 0 
1 	Model Error:556.795091988053[79296,80063] 113 Explicit 4 
2 		Model Error:343.676744825611[79296,79487] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[79296,79391] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[79392,79487] 107 Trend 0 
2 		Model Error:305.627849821547[79488,79679] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[79488,79583] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[79584,79679] 107 Trend 0 
2 		Model Error:447.30261859962[79680,79871] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[79680,79775] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[79776,79871] 107 Trend 0 
2 		Model Error:286.543444229137[79872,80063] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[79872,79967] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[79968,80063] 107 Trend 0 
1 	Model Error:2.91038304567337E-11[80064,80159] 106 Explicit 0 
1 	Model Error:3.63797880709171E-11[80160,80255] 107 Trend 0 
1 	Model Error:569.560968630896[80256,80639] 109 Explicit 2 
2 		Model Error:384.787445681846[80256,80447] 107 Implicit 2 
3 			Model Error:1.45519152283669E-11[80256,80351] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[80352,80447] 107 Trend 0 
2 		Model Error:480.716882389977[80448,80639] 107 Trend 2 
3 			Model Error:5.0931703299284E-11[80448,80543] 107 Trend 0 
3 			Model Error:5.0931703299284E-11[80544,80639] 107 Trend 0 
1 	Model Error:648.067245306447[80640,81599] 115 Explicit 8 
2 		Model Error:2.91038304567337E-11[80640,80735] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[80736,80831] 107 Trend 0 
2 		Model Error:364.070357604076[80832,81023] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[80832,80927] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[80928,81023] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[81024,81119] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[81120,81215] 107 Trend 0 
2 		Model Error:204.049657547395[81216,81407] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[81216,81311] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[81312,81407] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[81408,81503] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[81504,81599] 106 Explicit 0 
1 	Model Error:851.380151408121[81600,82943] 119 Explicit 8 
2 		Model Error:243.725685649901[81600,81791] 107 Trend 2 
3 			Model Error:4.36557456851006E-11[81600,81695] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[81696,81791] 107 Trend 0 
2 		Model Error:497.123705039077[81792,82175] 109 Explicit 4 
3 			Model Error:2.18278728425503E-11[81792,81887] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[81888,81983] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[81984,82079] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[82080,82175] 107 Trend 0 
2 		Model Error:408.039927506121[82176,82367] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[82176,82271] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[82272,82367] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[82368,82463] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[82464,82559] 107 Trend 0 
2 		Model Error:405.083887463421[82560,82751] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[82560,82655] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[82656,82751] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[82752,82847] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[82848,82943] 107 Trend 0 
1 	Model Error:2.18278728425503E-11[82944,83039] 107 Trend 0 
1 	Model Error:2.91038304567337E-11[83040,83135] 107 Trend 0 
1 	Model Error:928.86224191622[83136,83327] 107 Implicit 2 
2 		Model Error:1.45519152283669E-11[83136,83231] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[83232,83327] 106 Explicit 0 
1 	Model Error:1.81898940354586E-11[83328,83423] 107 Trend 0 
1 	Model Error:2.91038304567337E-11[83424,83519] 106 Explicit 0 
1 	Model Error:696.56569625518[83520,83903] 109 Explicit 2 
2 		Model Error:488.048929398094[83520,83711] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[83520,83615] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[83616,83711] 106 Explicit 0 
2 		Model Error:478.101367795578[83712,83903] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[83712,83807] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[83808,83903] 107 Trend 0 
1 	Model Error:867.979508002492[83904,85823] 125 Explicit 16 
2 		Model Error:293.790018640189[83904,84095] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[83904,83999] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[84000,84095] 107 Trend 0 
2 		Model Error:5.82076609134674E-11[84096,84191] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[84192,84287] 107 Trend 0 
2 		Model Error:418.066575549601[84288,84479] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[84288,84383] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[84384,84479] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[84480,84575] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[84576,84671] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[84672,84767] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[84768,84863] 107 Trend 0 
2 		Model Error:424.750434496193[84864,85055] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[84864,84959] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[84960,85055] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[85056,85151] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[85152,85247] 106 Explicit 0 
2 		Model Error:187.188069325224[85248,85439] 107 Implicit 2 
3 			Model Error:3.63797880709171E-11[85248,85343] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[85344,85439] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[85440,85535] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[85536,85631] 107 Trend 0 
2 		Model Error:5.0931703299284E-11[85632,85727] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[85728,85823] 106 Explicit 0 
1 	Model Error:672.314942664001[85824,86783] 115 Explicit 8 
2 		Model Error:1.45519152283669E-11[85824,85919] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[85920,86015] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[86016,86111] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[86112,86207] 107 Trend 0 
2 		Model Error:388.625612261436[86208,86399] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[86208,86303] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[86304,86399] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[86400,86495] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[86496,86591] 106 Explicit 0 
2 		Model Error:341.286257392087[86592,86783] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[86592,86687] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[86688,86783] 107 Trend 0 
1 	Model Error:928.6349170307[86784,87263] 110 Explicit 4 
2 		Model Error:1.45519152283669E-11[86784,86879] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[86880,86975] 107 Trend 0 
2 		Model Error:346.273187760926[86976,87167] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[86976,87071] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[87072,87167] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[87168,87263] 107 Trend 0 
1 	Model Error:765.447227577766[87264,87455] 107 Trend 2 
2 		Model Error:1.45519152283669E-11[87264,87359] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[87360,87455] 106 Explicit 0 
1 	Model Error:985.397369517581[87456,87647] 107 Explicit 2 
2 		Model Error:1.45519152283669E-11[87456,87551] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[87552,87647] 106 Explicit 0 
1 	Model Error:818.788724649858[87648,88607] 115 Explicit 8 
