0 Model Error:2917.79358061739[0,162143] 291 Explicit 7 
2 		Model Error:831.142735018904[138240,139775] 115 Explicit 0 
2 		Model Error:1558.75597514067[139776,141311] 115 Explicit 0 
2 		Model Error:846.702888702086[141312,142847] 115 Explicit 0 
2 		Model Error:668.802904508288[142848,144383] 115 Explicit 0 
2 		Model Error:606.067457463025[144384,145919] 115 Explicit 0 
2 		Model Error:642.852114379493[145920,147455] 115 Explicit 0 
1 	Model Error:5696.9318212022[147456,162143] 101 Implicit 10 
2 		Model Error:782.131221417483[147456,148991] 115 Explicit 0 
2 		Model Error:1289.69327702418[148992,150527] 115 Explicit 0 
2 		Model Error:647.373437681468[150528,152063] 115 Explicit 0 
2 		Model Error:2101.19609220558[152064,153599] 115 Explicit 0 
2 		Model Error:780.378788440285[153600,155135] 115 Explicit 0 
2 		Model Error:741.815887551522[155136,156671] 115 Explicit 0 
2 		Model Error:2034.84442818489[156672,158207] 101 Trend 0 
2 		Model Error:922.469902846722[158208,159743] 115 Explicit 0 
2 		Model Error:743.357212969157[159744,161279] 115 Explicit 0 
2 		Model Error:512.080000391441[161280,162143] 108 Explicit 0 
