0 Model Error:3896.43997284128%[0,2500000] 283 Trend 406
3 			Model Error:2.91038304567337E-11%[2496,2591] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2592,2687] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[2688,2783] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[2784,2879] 101 Trend 0
3 			Model Error:3.27418092638254E-11%[2880,2975] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[2976,3071] 101 Trend 0
1 	Model Error:1067.15085137689%[18432,24575] 163 Explicit 1
2 		Model Error:1067.15085137689%[0,6143] 163 Explicit 32
3 			Model Error:690.166724237242%[0,191] 101 Explicit 0
3 			Model Error:461.141043377691%[192,383] 101 Trend 0
3 			Model Error:533.536352301118%[384,575] 101 Trend 0
3 			Model Error:567.252021509856%[576,767] 101 Trend 0
3 			Model Error:527.123901501218%[768,959] 101 Trend 0
3 			Model Error:512.336838386589%[960,1151] 101 Explicit 0
3 			Model Error:184.042583413895%[1152,1343] 101 Trend 0
3 			Model Error:555.275956592959%[1344,1535] 101 Trend 0
3 			Model Error:524.09863243669%[1536,1727] 101 Trend 0
3 			Model Error:332.157856693448%[1728,1919] 101 Trend 0
3 			Model Error:654.342216528712%[1920,2111] 101 Explicit 0
3 			Model Error:575.219861369216%[2112,2303] 101 Trend 0
3 			Model Error:474.622895211469%[2304,2495] 101 Explicit 0
3 			Model Error:260.722700862672%[2496,2687] 101 Trend 0
3 			Model Error:456.943660279474%[2688,2879] 101 Trend 0
3 			Model Error:532.617613839808%[2880,3071] 101 Trend 0
3 			Model Error:585.427861606506%[3072,3263] 101 Explicit 0
3 			Model Error:569.793809448835%[3264,3455] 101 Explicit 0
3 			Model Error:316.7527479731%[3456,3647] 101 Trend 0
3 			Model Error:671.345128406887%[3648,3839] 101 Explicit 0
3 			Model Error:101.736050252788%[3840,4031] 101 Explicit 0
3 			Model Error:715.893665057491%[4032,4223] 101 Explicit 0
3 			Model Error:427.370764081803%[4224,4415] 101 Explicit 0
3 			Model Error:540.884666641628%[4416,4607] 101 Explicit 0
3 			Model Error:621.09640269171%[4608,4799] 101 Trend 0
3 			Model Error:379.731895578501%[4800,4991] 101 Explicit 0
3 			Model Error:536.574617920167%[4992,5183] 101 Explicit 0
3 			Model Error:163.351377019131%[5184,5375] 101 Trend 0
3 			Model Error:679.255107719706%[5376,5567] 101 Explicit 0
3 			Model Error:418.709398325096%[5568,5759] 101 Trend 0
3 			Model Error:616.883939519452%[5760,5951] 101 Explicit 0
3 			Model Error:930.571394546583%[5952,6143] 101 Explicit 0
1 	Model Error:2832.75840284936%[24576,30719] 163 Explicit 1
2 		Model Error:2832.75840284936%[0,6143] 163 Explicit 64
3 			Model Error:2.91038304567337E-11%[0,95] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[96,191] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[192,287] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[288,383] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[384,479] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[480,575] 100 Explicit 0
3 			Model Error:7.27595761418343E-12%[576,671] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[672,767] 101 Trend 0
3 			Model Error:7.27595761418343E-12%[768,863] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[864,959] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[960,1055] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1056,1151] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1152,1247] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1248,1343] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1344,1439] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[1440,1535] 101 Trend 0
3 			Model Error:1.09139364212751E-11%[1536,1631] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1632,1727] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1728,1823] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1824,1919] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[1920,2015] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2016,2111] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2112,2207] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2208,2303] 100 Explicit 0
3 			Model Error:4.36557456851006E-11%[2304,2399] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2400,2495] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2496,2591] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2592,2687] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2688,2783] 100 Explicit 0
3 			Model Error:7.27595761418343E-12%[2784,2879] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2880,2975] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2976,3071] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[3072,3167] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[3168,3263] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[3264,3359] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[3360,3455] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[3456,3551] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[3552,3647] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[3648,3743] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[3744,3839] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[3840,3935] 101 Trend 0
3 			Model Error:7.27595761418343E-12%[3936,4031] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[4032,4127] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[4128,4223] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[4224,4319] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[4320,4415] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[4416,4511] 101 Trend 0
3 			Model Error:3.27418092638254E-11%[4512,4607] 100 Explicit 0
3 			Model Error:3.27418092638254E-11%[4608,4703] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[4704,4799] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[4800,4895] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[4896,4991] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[4992,5087] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[5088,5183] 101 Trend 0
3 			Model Error:2.5465851649642E-11%[5184,5279] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[5280,5375] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[5376,5471] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[5472,5567] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[5568,5663] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[5664,5759] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[5760,5855] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[5856,5951] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[5952,6047] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[6048,6143] 101 Trend 0
1 	Model Error:4074.51782967176%[30720,36863] 101 Implicit 2
2 		Model Error:1228.37096198057%[0,3071] 131 Explicit 32
3 			Model Error:1.45519152283669E-11%[0,95] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[96,191] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[192,287] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[288,383] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[384,479] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[480,575] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[576,671] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[672,767] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[768,863] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[864,959] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[960,1055] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[1056,1151] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[1152,1247] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1248,1343] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1344,1439] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1440,1535] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1536,1631] 100 Explicit 0
3 			Model Error:3.63797880709171E-11%[1632,1727] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1728,1823] 101 Trend 0
