0 Model Error:3102.45916429981[0,1000000] 345 Explicit 82 
2 		Model Error:886.858858995358[322560,324095] 121 Explicit 0 
2 		Model Error:1140.70196287138[324096,325631] 121 Explicit 0 
2 		Model Error:706.381245245459[325632,327167] 121 Explicit 0 
2 		Model Error:2279.15611021234[327168,328703] 121 Explicit 0 
2 		Model Error:966.280996339861[328704,330239] 121 Explicit 0 
2 		Model Error:820.901741071528[330240,331775] 121 Explicit 0 
1 	Model Error:4902.82503192975[331776,344063] 107 Implicit 8 
2 		Model Error:2194.06386235388[331776,333311] 107 Implicit 0 
2 		Model Error:1020.78958582532[333312,334847] 121 Explicit 0 
2 		Model Error:788.579752491896[334848,336383] 121 Explicit 0 
2 		Model Error:585.254394151911[336384,337919] 121 Explicit 0 
2 		Model Error:680.650125431639[337920,339455] 121 Explicit 0 
2 		Model Error:906.885944009398[339456,340991] 121 Explicit 0 
2 		Model Error:758.48329170973[340992,342527] 121 Explicit 0 
2 		Model Error:1986.58810426485[342528,344063] 107 Implicit 0 
1 	Model Error:5436.07847351814[344064,356351] 107 Trend 8 
2 		Model Error:681.565431331925[344064,345599] 121 Explicit 0 
2 		Model Error:2224.22724098588[345600,347135] 121 Explicit 0 
2 		Model Error:873.689925565734[347136,348671] 121 Explicit 0 
2 		Model Error:950.907662469857[348672,350207] 121 Explicit 0 
2 		Model Error:1248.2724156696[350208,351743] 121 Explicit 0 
2 		Model Error:899.566983884433[351744,353279] 121 Explicit 0 
2 		Model Error:730.761896662189[353280,354815] 121 Explicit 0 
2 		Model Error:652.927438450257[354816,356351] 121 Explicit 0 
1 	Model Error:5496.34812264216[356352,368639] 107 Implicit 8 
2 		Model Error:771.808460593402[356352,357887] 121 Explicit 0 
2 		Model Error:812.607302403121[357888,359423] 121 Explicit 0 
2 		Model Error:2161.01751670078[359424,360959] 107 Implicit 0 
2 		Model Error:693.139070735742[360960,362495] 121 Explicit 0 
2 		Model Error:2262.5402635634[362496,364031] 121 Explicit 0 
2 		Model Error:853.778495598439[364032,365567] 121 Explicit 0 
2 		Model Error:787.667816335081[365568,367103] 121 Explicit 0 
2 		Model Error:2315.45929988723[367104,368639] 107 Trend 0 
1 	Model Error:4926.5055413111[368640,380927] 107 Implicit 8 
2 		Model Error:958.514367797885[368640,370175] 121 Explicit 0 
2 		Model Error:813.284823028444[370176,371711] 121 Explicit 0 
2 		Model Error:615.602967107581[371712,373247] 121 Explicit 0 
2 		Model Error:670.885562672076[373248,374783] 121 Explicit 0 
2 		Model Error:988.708090366516[374784,376319] 121 Explicit 0 
2 		Model Error:760.307864470331[376320,377855] 121 Explicit 0 
2 		Model Error:1135.04534758606[377856,379391] 121 Explicit 0 
2 		Model Error:1366.74154585393[379392,380927] 121 Explicit 0 
1 	Model Error:4342.46988643482[380928,393215] 107 Implicit 8 
2 		Model Error:1809.38324621289[380928,382463] 121 Explicit 0 
2 		Model Error:835.063843445474[382464,383999] 121 Explicit 0 
2 		Model Error:1410.10700872156[384000,385535] 121 Explicit 0 
2 		Model Error:1063.30956204736[385536,387071] 121 Explicit 0 
2 		Model Error:915.451916859281[387072,388607] 121 Explicit 0 
2 		Model Error:622.562710440936[388608,390143] 121 Explicit 0 
2 		Model Error:668.324820720045[390144,391679] 121 Explicit 0 
2 		Model Error:811.526644473059[391680,393215] 121 Explicit 0 
1 	Model Error:5781.08896477713[393216,405503] 107 Trend 8 
2 		Model Error:825.789539998375[393216,394751] 121 Explicit 0 
2 		Model Error:2193.81167339787[394752,396287] 107 Implicit 0 
2 		Model Error:670.75298983173[396288,397823] 121 Explicit 0 
2 		Model Error:2263.65948832929[397824,399359] 121 Explicit 0 
2 		Model Error:905.041884770413[399360,400895] 121 Explicit 0 
2 		Model Error:861.4809460584[400896,402431] 121 Explicit 0 
2 		Model Error:1854.63734218979[402432,403967] 121 Explicit 0 
2 		Model Error:873.279838457842[403968,405503] 121 Explicit 0 
1 	Model Error:5398.63721289902[405504,417791] 107 Trend 8 
2 		Model Error:797.356627602458[405504,407039] 121 Explicit 0 
2 		Model Error:607.73465647563[407040,408575] 121 Explicit 0 
2 		Model Error:717.398234523913[408576,410111] 121 Explicit 0 
2 		Model Error:912.13986395354[410112,411647] 121 Explicit 0 
2 		Model Error:1045.42536347741[411648,413183] 121 Explicit 0 
2 		Model Error:758.719941288015[413184,414719] 121 Explicit 0 
2 		Model Error:2393.62103519471[414720,416255] 121 Explicit 0 
2 		Model Error:1012.38465862547[416256,417791] 121 Explicit 0 
1 	Model Error:4677.43260779015[417792,430079] 107 Implicit 8 
2 		Model Error:839.426310935298[417792,419327] 121 Explicit 0 
2 		Model Error:2031.72496857958[419328,420863] 107 Trend 0 
2 		Model Error:1088.73095556267[420864,422399] 121 Explicit 0 
2 		Model Error:881.320448963234[422400,423935] 121 Explicit 0 
2 		Model Error:633.498358488032[423936,425471] 121 Explicit 0 
2 		Model Error:689.452469206466[425472,427007] 121 Explicit 0 
2 		Model Error:899.132004701401[427008,428543] 121 Explicit 0 
2 		Model Error:820.803183844851[428544,430079] 121 Explicit 0 
1 	Model Error:5281.84531574396[430080,442367] 107 Implicit 8 
2 		Model Error:2032.87357196648[430080,431615] 107 Trend 0 
2 		Model Error:639.469683532254[431616,433151] 121 Explicit 0 
2 		Model Error:2195.84813707584[433152,434687] 121 Explicit 0 
2 		Model Error:934.619887314213[434688,436223] 121 Explicit 0 
2 		Model Error:1040.38477302754[436224,437759] 121 Explicit 0 
2 		Model Error:1258.345193791[437760,439295] 121 Explicit 0 
2 		Model Error:878.521642299544[439296,440831] 121 Explicit 0 
2 		Model Error:708.409041717416[440832,442367] 121 Explicit 0 
1 	Model Error:5081.39662347676[442368,454655] 107 Trend 8 
2 		Model Error:665.431942222618[442368,443903] 121 Explicit 0 
2 		Model Error:721.069159773659[443904,445439] 121 Explicit 0 
2 		Model Error:794.167412770235[445440,446975] 121 Explicit 0 
2 		Model Error:2078.20848903808[446976,448511] 107 Implicit 0 
2 		Model Error:750.041235284909[448512,450047] 121 Explicit 0 
2 		Model Error:2356.73199860873[450048,451583] 121 Explicit 0 
2 		Model Error:816.21016586003[451584,453119] 121 Explicit 0 
2 		Model Error:814.689388078121[453120,454655] 121 Explicit 0 
1 	Model Error:4916.49841984655[454656,466943] 107 Implicit 8 
2 		Model Error:2264.35399153918[454656,456191] 107 Implicit 0 
2 		Model Error:1007.10675772336[456192,457727] 121 Explicit 0 
2 		Model Error:832.039979134704[457728,459263] 121 Explicit 0 
