0 Model Error:0.111767037840536[0,99999] 1102 Explicit 1
1 	Model Error:0.111767037840536[0,99999] 1102 Explicit 1
5 					Model Error:1.13686837721616E-12[24800,24899] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[24900,24999] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[25000,25099] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[25100,25199] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[25200,25299] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[25300,25399] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[25400,25499] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[25500,25599] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[25600,25699] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[25700,25799] 103 Explicit 0
5 					Model Error:1.4210854715202E-13[25800,25899] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[25900,25999] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[26000,26099] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[26100,26199] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[26200,26299] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[26300,26399] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[26400,26499] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[26500,26599] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[26600,26699] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[26700,26799] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[26800,26899] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[26900,26999] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[27000,27099] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[27100,27199] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[27200,27299] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[27300,27399] 103 Explicit 0
5 					Model Error:3.69482222595252E-13[27400,27499] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[27500,27599] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[27600,27699] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[27700,27799] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[27800,27899] 103 Explicit 0
5 					Model Error:1.70530256582424E-13[27900,27999] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[28000,28099] 103 Explicit 0
5 					Model Error:7.38964445190504E-13[28100,28199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[28200,28299] 103 Explicit 0
5 					Model Error:1.4210854715202E-13[28300,28399] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[28400,28499] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[28500,28599] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[28600,28699] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[28700,28799] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[28800,28899] 103 Explicit 0
5 					Model Error:8.5265128291212E-13[28900,28999] 103 Explicit 0
